,2020,2019,2018,2017,2016,2015,2014,2013
Potraviny a nealkoholické nápoje,181.959005879,172.256038421,174.864394846,184.873274019,165.834967670,162.8244893,175.227970764,166.980982723
Alkoholické nápoje a tabak,53.722358878,51.476365678,52.715395218,50.550418526,51.199129013,50.90331506,46.968700262,49.590386034
Odevy a obuv,47.948627354,44.309063953,43.810884758,42.965849984,44.100889860,43.7108543,45.841419624,43.077936244
"Bývanie, voda, elektrina, plyn a ostatné palivá",248.377444994,258.120597420,258.693034592,262.103534610,270.708506030,275.7803539,286.434667909,279.404527375
"Nábytok, bytové zariadenie a bežná údržba domácnosti",71.937528192,67.497230824,62.609271856,63.075779795,66.734158064,65.44389917,63.417316323,63.965854524
Zdravie,26.527482508,26.771258205,28.377428082,27.363433782,44.713289223,44.23188875,35.901108708,45.086928878
Doprava,76.017115002,86.405348794,86.599647871,79.435419592,74.062283163,78.44119046,83.898064877,79.360019595
Pošty a spoje,33.681813733,33.285947766,33.888075137,36.820627517,34.548153480,34.05945561,35.809613611,35.542754632
Rekreácia a kultúra,89.956868947,88.629399273,88.593821847,86.485886838,87.043366317,85.79359056,82.980181443,83.171525494
Vzdelávanie,17.518208220,17.022201181,17.610557178,17.825582728,18.345298447,18.23875331,18.696951003,17.765889367
Reštaurácie a hotely,71.766457420,69.646370695,68.250758989,65.343755318,62.809302427,61.50586443,56.278812972,60.828520046
Rozličné tovary a služby,80.587088873,84.580177790,83.986729626,83.156437291,79.900656306,79.06634519,68.545192504,75.224675088
